surname,
კაპანაძე
გელაშვილი
წიკლაური
მაისურაძე
ნოზაძე
ბერიძე
ლომიძე
მაჭარაშვილი
გიორგაძე
ხუციშვილი
მჭედლიშვილი
ტაბატაძე
შენგელია
ხაჩიძე
შუბითიძე
გოგოლაძე
მეტრეველი
ჯავახიშვილი
ნადირაძე
ჯაფარიძე
გრიგალაშვილი
ბარბაქაძე
ჭანტურია
კვარაცხელია
დანელია
ცერცვაძე
თოდუა
ბერუაშვილი
კობახიძე
აფციაური
მოდებაძე
აბულაძე
მელაძე
ღონღაძე
ჩხაიძე
დოლიძე
ქავთარაძე
ჩუბინიძე
გაგნიძე
გიგაური
სიხარულიძე
ლაცაბიძე
სიჭინავა
აბრამიშვილი
სამხარაძე
მჭედლიძე
მუმლაძე
უგრეხელიძე
რობაქიძე
კურტანიძე
ჟორჟოლიანი
ნაჭყებია
მაჭავარიანი
მახარაძე
კალანდაძე
არაბული
გურგენიძე
პეტრიაშვილი
აბაშიძე
მამულაშვილი
რეხვიაშვილი
გაფრინდაშვილი
ლიპარტელიანი
ბექაური
ტალახაძე
დავითაშვილი
ლობჟანიძე
დალაქიშვილი
მიქელაძე
ჭელიძე
ბოლქვაძე
ხვედელიძე
არევაძე
წერეთელი
ბოჭორიშვილი
ღვინიაშვილი
მაღლაკელიძე
კიკნაძე
ბარამიძე
მერაბიშვილი
ნადირაშვილი
მიქაძე
გოგია
გოგიშვილი
გოგალაძე
ბიწაძე
ჩიკვილაძე
ონიანი
ბერიშვილი
სირაძე
ცეცხლაძე
ქართველიშვილი
მგელაძე
ჩადუნელი
ახვლედიანი
ჩაჩანიძე
ბუცხრიკიძე
ნებიერიძე
ბრეგვაძე
აბესაძე
ფიფია
ჟღენტი
ჯოხაძე
ქათამაძე
მოსიაშვილი
ჭინჭარაული
ასანიძე
აბულაშვილი
ხარაიშვილი
რაზმაძე
ფირცხალაიშვილი
გულიაშვილი
როსტიაშვილი
მეგრელიშვილი
ბაკურაძე
ჯინჭარაძე
ჩიხლაძე
ნიჟარაძე
დვალიშვილი
ჩიქოვანი
აბუაშვილი
მესხი
ფეიქრიშვილი
მამედოვა
ცინცაძე
ზედგინიძე
მელიქიძე
კირკიტაძე
გოგრიჭიანი
პაპიაშვილი
პავლიაშვილი
ლეკიშვილი
შავაძე
კობერიძე
ლეჟავა
გეგეჭკორი
ტყემალაძე
გოგოხია
ცუცქირიძე
