name,sex
ელეონორა,F
მიმოზა,F
შალალა,F
აიტაჩ,F
მარიეტა,F
ვასო,M
მურთაზ,M
აიტაჯ,F
ზოია,F
სახავატ,M
ანა-მარია,F
ჯენი,F
ლაურა,F
სულიკო,M
ზაირა,F
სამირა,F
სოლომონ,M
გიგლა,M
გიულნარ,F
უტა,M
მევლუდ,M
ფატმან,F
ვიოლეტა,F
ალბერტი,M
ელვინ,M
თებრონე,F
როინ,M
გიუნაი,F
მზისა,F
ლილიანა,F
ანუკა,F
ბეჟანი,M
ფატმა,F
ჯინა,F
მორისი,M
ანგელინა,F
კარინე,F
დარეჯანი,F
ჯუმბერი,M
ჯონდო,M
ტატა,F
ნორიკ,M
აჩიკო,M
მარგალიტა,F
თომა,M
რობერტ,M
რამინ,M
რუბენი,M
ეკატერინა,F
ივიკო,M
ალუდა,M
ეთო,F
სულეიმან,M
ნაირა,F
გუნელ,F
გაბრიელი,M
ნადეჟდა,F
ტრისტანი,M
ვიტალი,M
ნურლან,M
ტურკან,F
ცინარი,F
სამირ,M
მზევინარი,F
ნარმინა,F
ვუგარ,M
გრიგოლ,M
იოანე,M
გაიოზ,M
რახმან,M
რაუფ,M
ფრიდონ,M
ფილიპე,M
სიმონი,M
ბეთქილი,M
პავლე,M
მაგული,F
ემზარ,M
შახინ,M
არმენ,M
ვეფხვია,M
გრიგორი,M
ბეთქილ,M
აგილ,M
გენადი,M
იაკობ,M
შაქრო,M
მავრა,F
მუხრანი,M
ვანიკო,M
იურა,M
კოკი,M
რაფაელა,F
უვეის,M
გიულჯახან,F
სულხან,M
ზაჰრა,F
თანათო,F
ვიკტორია,F
ანიკო,F
ფერიკო,F
ასლანი,M
ბახარ,F
ნასყიდა,M
ციკო,F
დესპინე,F
ფაინა,F
ნაჯიბა,F
ნაზიკო,F
ანდრეი,M
ანნი,F
გვიდონი,M
ინოლა,F
სურაია,F
ლატავრა,F
ლიზიკო,F
ემილია,F
რამიზ,M
სინახანუმ,F
ადელ,F
რაბია,F
აისუნ,F
ლეისან,F
მუხტარ,M
ფირანი,M
ხაიატ,F
აიშა,F
ზილფი,F
ნურჯახან,F
ელინა,F
ხატინ,F
გიული,B
მალუ,F
ჯამბულ,M
შაბნამ,F
მუსეიფ,M
სალმინაზ,F
გუმანი,M
მიგა,M
კესარია,F
ეკატერინი,F
აიგუნ,F
გულიანახ,F
გიულმინა,F
ალა,F
ათინა,F
ნურა,F
გიუნარ,F
მზევინარ,F
დალინა,F
ანამარია,F
ინარა,F
