name,sex
ელიზე,M
გვეჯე,M
იორდანე,M
ჰენრიკო,M
სანდიკ,F
მეჯით,M
გეგე,M
დინარა,F
იულიუს,M
გომა,F
ვარინკა,F
მიკაელა,F
მაჰმად,M
მილი,F
გაჯირაგიმ,M
პაულ,M
ჯეიმზ,M
მანა,F
დუტუ,M
ბუდუ(პოლიკარპე),M
იაროსლავ,M
გლებ,M
ლენარტ,M
მელქისედეკ,M
დერმიშა,M
ღენტორ,M
სენია,M
გუჩა,F
კოლეტა,F
ზაჰიდე,F
ალფრედ,M
რუდოლფ,M
ანუკე,F
პედიე,F
ნათან,M
რუსიკო,F
ლუკიანე,M
ტარასი,M
მეტია,F
ველიმირ,M
პაულო,M
ტოტი,F
სილამპრე,M
აისედორა,F
ანანია,M
ზება,M
რეჯებ,M
ერმალაი,M
ისმაილ,M
ედგარ,M
ნიკიფორე,M
ვაგარშაკ,M
ლასა,M
ჯანრი,M
იგნაც,M
სოგრატი,M
იგნატ,M
პოლინა,F
სარდიონ,M
ენვერ,M
რინატ,M
გლან,M
სუბუსისო,M
ფარვიზ,M
აშოთ,M
ჰუსეინბალა,M
დიულა,M
ურბან,M
ციცინი,F
ზოსიმე,M
ივა,M
ცისმარ,F
ერმისი,M
მილედი,F
ბექნუ,M
ვეფხია,M
თათუშა,F
დარისპან,M
მელაქია,M
ნიტიფო,M
მხითარ,M
კლემენტი,M
ვირა,F
ტალი,M
დოდონა,F
ზარბეგ,M
გიგოლა,M
სემიუელ,M
აგასი,M
პიმენ,M
ცეზარ,M
ხორშუდ,M
რუბელ,M
ბარნაბ,M
ბუჭუ,M
ვალიტა,F
მადლენა,F
ვალდას,M
ნახაპეტ,M
ლიუსიენა,F
ალექსაანდრა,F
რენო,M
მურიკო,M
რეგინა,F
ჰაინც,M
გრიზეტა,F
იერემია,M
"ივანიცკი-ინგილო,",M
რუსი,M
ნარგიზ,F
ენგურის,M
სვიმო,M
მათევოს,M
პანტე,M
ოსიკო,M
ვაირა,F
ლამა,F
მიხაკო,M
კასიანე,M
ფიდელ,M
არისტიდ,M
ბრონისლავ,M
ჰერა,F
აღათი,M
ნორინა,F
კოლა,M
ნოშრევან,M
შარლოტა,F
ჟორა,M
პანტო,M
ალეიდა,F
ეფროსინე,F
ოლიფანტე,M
როლანდას,M
პრინცესა,M
ივტიხი,M
პოლი,M
კოწია,M
ანტონინა,F
ლეონარდე,M
იაზონ,M
აბდო(აბდულა),M
ჯეფერ,M
პართე,M
მედული,F
იანურ,M
ფრანც,M
ეილჰარდტ,M
ავეტის,M
მიშო,M
ჩინგიზ,M
პახუმ,M
მატა,M
თეოდოტ,M
ეფემია,M
ლორიკ,M
ჰალე,F
გოგია,M
გოგლო,M
კალენიკე,M
ჯანა,M
სიდონია,F
მირზახან,M
კიწი,M
ამბაკო,M
ოვანეს,M
ჯანიკო,F
ოვი,M
ხიზრი,M
ვლასა,M
კარნელ,M
ერმოლოზ,M
ფონ,M
გარსევან,M
ზინა,F
ტეფიკ,M
ოლივერა,F
როზალია,M
შამილ,M
მიმი,F
ველი,M
კლიმენტ,M
ირენ,F
როსკან,F
ბაგამირ,M
კახმეგ,M
თეოხარ,M
ნარგულ,F
ჯაფარ,M
მოვლადი,M
იობი,M
ივდით,F
ტატე,M
ცარო,F
ბერტრან,M
ზერო,M
სოსიკო,M
რომის,M
არამ,M
ჭუჭა,M
ტურფა,F
პეტროს,M
კანტემირი,M
გრიცკო,M
კაკი,M
ესაია,M
ტასიკო,F
კარმენ,M
ფრიდრიხ,M
ჰანრი,M
აჰმეთ,M
სიმო,M
ჰეინო,M
მიტო,M
ჯუგუ,M
გიერგ,M
თენურ,M
ყარა,M
არქიპო,M
ვიოლა,F
საფრონ,M
ბიკენტი,M
ნეო,M
ფრიც,M
პეყო,M
გულქან,M
ჰაირი,M
ამირ,M
ციცო,F
ნასერ,M
"მჟავია,",M
სვიატოსლავ,M
გუსარ,M
ცაცო,F
გეორგ,M
კრონპრინცი,M
მამონტი,M
ჯემს,M
მარკოზ,M
იუსტუს,M
რემ,M
ჯამბაკურ,M
ორდენ,M
პოლია,F
ლან,M
ბეშირ,M
მარტ,M
ეფრო,M
დემიკო,M
სეირან,M
გაზანფარ,M
შუკო,M
ლინ,M
მადი,M
ტამარ,F
ლეონი,M
ვსევოლოოდ,M
ბიკტორ,M
ილუშა,M
სიდორ,M
ბრუნო,M
ვოევოდა,M
ბოგდან,M
სურეია,M
ლექსანდრე,M
ერისტო,M
ლომკაცი,M
ტიმოთე,M
ავსენტი,M
ანტუანეტა,F
ზებედა,M
ხოსე,M
კირიაკ,M
მირან,M
ოფიკო,F
ემანოილ,M
ჰარლანდ,M
გენჯლა,M
ევტიხი,M
ტერი,M
ტაგუ,M
ელისაბედ(ლიზა),F
ვქნო,M
გერვასი,M
საშკა,M
ლამზირა,F
როი,M
ქუცნა,M
მერი(ფაცა),F
ივო,M
ახმად,M
გული,F
ქარუმ,M
ერემო,M
სტანისლავ,M
ნიკოფორე,M
რუსტამ,M
ნინუცა,F
ალიოზ,M
ესმა,F
ლაისო,M
უვე,M
ლუდა,F
ტელემაკ,M
მიტია,F
ჩირბიზ,M
ლევონ,M
როზეტა,F
დისო,M
რაიბულ,M
გერმან,M
ნორად,M
ინალიფა,M
ალფონს,M
გაი,M
ვადიმ,M
ტანია,M
თიუნათინ,F
ელიჩკა,F
ვია,F
ფიოდორ,M
მალაქია,M
კლიმნეტი,M
ჟორჟი,M
აბულფაზ,M
გერტრუდა,F
კახახ,M
პეტრიკ,F
პიო,M
ლიტა,F
ბულატ,M
ჯუდუ,M
